Date,TotalAssets
1-Aug-2007,870261
8-Aug-2007,865453
15-Aug-2007,864931
22-Aug-2007,862775
29-Aug-2007,872873
5-Sep-2007,871156
12-Sep-2007,886314
19-Sep-2007,867732
26-Sep-2007,889900
3-Oct-2007,869051
10-Oct-2007,886363
17-Oct-2007,869509
24-Oct-2007,881395
31-Oct-2007,883385
7-Nov-2007,885724
14-Nov-2007,889537
21-Nov-2007,891028
28-Nov-2007,879417
5-Dec-2007,882764
12-Dec-2007,881750
19-Dec-2007,887983
26-Dec-2007,890662
2-Jan-2008,922187
9-Jan-2008,880754
16-Jan-2008,893581
23-Jan-2008,877253
30-Jan-2008,900264
6-Feb-2008,871022
13-Feb-2008,883005
20-Feb-2008,878949
27-Feb-2008,893825
5-Mar-2008,881208
12-Mar-2008,896565
19-Mar-2008,888646
26-Mar-2008,893965
2-Apr-2008,883708
9-Apr-2008,893029
16-Apr-2008,881904
23-Apr-2008,885781
30-Apr-2008,888131
7-May-2008,889228
14-May-2008,880175
21-May-2008,898487
28-May-2008,904054
4-Jun-2008,895939
11-Jun-2008,890610
18-Jun-2008,902304
25-Jun-2008,892713
2-Jul-2008,902962
9-Jul-2008,898034
16-Jul-2008,910681
23-Jul-2008,899665
30-Jul-2008,918625
6-Aug-2008,901710
13-Aug-2008,914632
20-Aug-2008,898611
27-Aug-2008,909982
3-Sep-2008,905253
10-Sep-2008,925725
17-Sep-2008,995093
24-Sep-2008,1211825
1-Oct-2008,1503989
8-Oct-2008,1591587
15-Oct-2008,1770809
22-Oct-2008,1802602
29-Oct-2008,1969086
5-Nov-2008,2074205
12-Nov-2008,2212852
19-Nov-2008,2187137
26-Nov-2008,2106117
3-Dec-2008,2136924
10-Dec-2008,2250012
17-Dec-2008,2254983
24-Dec-2008,2232311
31-Dec-2008,2239457
7-Jan-2009,2121439
14-Jan-2009,2049714
21-Jan-2009,2037112
28-Jan-2009,1927082
4-Feb-2009,1851437
11-Feb-2009,1843400
18-Feb-2009,1915562
25-Feb-2009,1916115
4-Mar-2009,1901317
11-Mar-2009,1899514
18-Mar-2009,2066942
25-Mar-2009,2071556
1-Apr-2009,2078936
8-Apr-2009,2088573
15-Apr-2009,2186498
22-Apr-2009,2196812
29-Apr-2009,2066712
6-May-2009,2079758
13-May-2009,2196351
20-May-2009,2181632
27-May-2009,2080115
3-Jun-2009,2077695
10-Jun-2009,2052297
17-Jun-2009,2072527
24-Jun-2009,2025571
1-Jul-2009,2005627
8-Jul-2009,1992740
